City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,manokwari,-0.8667,134.0833,26.66,80,100,1.2,ID,1718155604
109,invercargill,-46.4,168.35,5.01,76,100,1.79,NZ,1718155604
110,bengkulu,-3.8004,102.2655,25.72,86,27,1.46,ID,1718155560
111,dubrovnik,42.6481,18.0922,24.8,53,0,3.6,HR,1718155604
112,outjo,-20.1167,16.15,12.16,40,0,4.36,NA,1718155605
113,new norfolk,-42.7826,147.0587,8.72,78,100,2.72,AU,1718155605
114,rio grande,-32.035,-52.0986,17.75,93,100,5.83,BR,1718155605
115,san antonio de pale,-1.4014,5.6325,24.79,83,100,4.2,GQ,1718155605
116,hwange,-18.3693,26.5019,11.0,50,1,1.28,ZW,1718155605
117,aktobe,50.2797,57.2072,17.05,63,0,1.0,KZ,1718155605
118,rawson,-43.3002,-65.1023,12.52,58,100,2.69,AR,1718155605
119,waingapu,-9.6567,120.2641,26.47,69,16,4.59,ID,1718155605
120,sanctuary point,-35.1114,150.629,17.64,54,13,7.07,AU,1718155605
121,gadzhiyevo,69.2551,33.3362,5.82,94,100,4.01,RU,1718155605
122,fortuna,40.5982,-124.1573,17.19,79,0,6.17,US,1718155605
123,nishinoomote,30.7333,131.0,24.31,94,75,4.63,JP,1718155605
124,hithadhoo,-0.6,73.0833,28.35,74,100,3.11,MV,1718155605
125,santarem,-2.4431,-54.7083,26.07,89,0,2.06,BR,1718155492
126,tapa,59.2606,25.9586,9.64,98,100,1.7,EE,1718155605
127,badger,64.8,-147.5333,22.95,54,75,2.57,US,1718155605
128,lukolela,-1.0605,17.1821,22.66,58,100,1.41,CD,1718155605
129,isangel,-19.55,169.2667,24.72,74,39,4.28,VU,1718155605
130,san andres,12.5847,-81.7006,29.01,84,20,1.03,CO,1718155605
131,naliya,23.2667,68.8333,28.91,72,14,6.88,IN,1718155605
132,lagoa,39.05,-27.9833,18.57,64,49,1.29,PT,1718155605
133,kabalo,-6.05,26.9167,21.6,50,74,2.64,CD,1718155605
134,port mathurin,-19.6833,63.4167,24.02,73,56,10.26,MU,1718155606
135,ribas do rio pardo,-20.4431,-53.7592,19.99,41,0,1.02,BR,1718155606
136,howrah,22.5892,88.3103,31.0,84,40,3.6,IN,1718155606
137,hadibu,12.65,54.0333,27.75,77,86,6.66,YE,1718155606
138,keflavik,64.0049,-22.5624,10.24,87,75,5.14,IS,1718155606
139,longyearbyen,78.2186,15.6401,4.91,75,40,4.12,SJ,1718155606
140,la passe,45.5549,-0.8967,14.13,81,100,4.35,FR,1718155606
141,fale old settlement,-9.3852,-171.2468,28.68,74,43,3.02,TK,1718155606
142,ancud,-41.8697,-73.8203,11.58,90,100,5.16,CL,1718155606
143,santo antonio do ica,-3.1022,-67.9397,24.51,94,64,0.5,BR,1718155606
144,kununurra,-15.7667,128.7333,25.99,41,69,3.09,AU,1718155606
